ano,pais,electricidad,poblacion,cultivos,desempleo,hambre
YR2013,Mexico,99.1450500488281,60.3362668792922,11.5697420201137,4.91,4.2
"YR2013,""Venezuela, RB"",99.3690948486328,33.8280380930786,2.94767870302137,7.54,2.5"
YR2013,Ecuador,98.034674,63.3072515703012,4.80753744564342,3.08,8.8
YR2013,Colombia,97.779418,41.6745651194232,1.28255971158179,9.05,8.9
YR2013,Paraguay,99.015884,15.1161641077272,11.2861817266549,4.38,7.4
YR2013,Peru,92.135365,23.46781953125,3.64993203125,3.57,5.7
YR2013,Bolivia,89.505686,9.91724268439029,4.16320502169298,2.44,16.5
YR2014,United States,100.0,34.8061342979769,17.064844513535,6.17,2.5
YR2014,Canada,100.0,3.9526049038602,4.2419963437989,6.91,2.5
YR2014,Chile,100.0,23.7879580166018,1.73355013637611,6.65,3.0
YR2014,Argentina,100.0,15.5916453818299,14.3296098571632,7.27,2.5
YR2014,Uruguay,99.657085,19.3787110044566,13.9189806879214,6.55,2.5
YR2014,Brazil,99.650247,24.3426946665167,6.4482049834054,6.76,2.5
YR2014,Costa Rica,99.359291,94.8744222483353,4.5436741088915,8.5,4.7
YR2014,Mexico,99.172928,61.0899904832943,11.3999845675043,4.81,4.4
"YR2014,""Venezuela, RB"",100.0,34.2307783005499,2.94767870302137,6.865,4.5"
YR2014,Ecuador,98.976067,64.2534788210662,3.9056208729264,3.48,8.7
YR2014,Colombia,97.790938,42.0711554754394,1.34835511491663,8.57,7.5
YR2014,Paraguay,99.000716,15.3302819028442,11.7367228794362,5.03,7.1
YR2014,Peru,92.919989,23.71402421875,3.4528640625,3.21,5.4
YR2014,Bolivia,90.038729,10.0775288470414,4.16859854149358,2.02,15.6
YR2015,United States,100.0,35.0633286762825,17.1245116109242,5.28,2.5
YR2015,Canada,100.0,3.98221511356196,4.26988073289098,6.91,2.5
YR2015,Chile,99.714844,24.03410209648,1.73757551793332,6.49,3.1
YR2015,Argentina,99.6890335083008,15.7606327351655,14.7401057481849,7.524,2.5
YR2015,Uruguay,99.70948,19.4424522911667,13.8761284424637,7.49,2.5
YR2015,Brazil,99.710902,24.5495056316357,6.52274309834485,8.56,2.5
YR2015,Costa Rica,99.409804,95.8723462593028,4.9647473560517,8.42,4.1
YR2015,Mexico,99.0,61.8070922606034,11.3418555003987,4.31,5.0
"YR2015,""Venezuela, RB"",100.0,34.6122283317272,2.94767870302137,6.077,11.3"
YR2015,Ecuador,98.825883,65.2113947495571,4.3002093734901,3.62,9.0
YR2015,Colombia,98.186898,42.4693357368184,1.36457863902659,8.3,6.5
